source,kaneko,katagiri,kojimaarai,komachiya,kubota,kyusojin,matsuda,okumura,ozawa,takeoka,morph_high
kaneko,0.000000,0.059250,0.053000,0.049750,0.057750,0.045500,0.049500,0.064750,0.075750,0.051750,0.062750
katagiri,0.059250,0.000000,0.025750,0.023500,0.026500,0.025750,0.025250,0.032500,0.044000,0.027000,0.097500
kojimaarai,0.053000,0.025750,0.000000,0.024750,0.025250,0.023500,0.026000,0.034750,0.047750,0.028750,0.093750
komachiya,0.049750,0.023500,0.024750,0.000000,0.024000,0.019250,0.023750,0.024000,0.045000,0.026500,0.090500
kubota,0.057750,0.026500,0.025250,0.024000,0.000000,0.025750,0.023750,0.029500,0.048500,0.026000,0.098000
kyusojin,0.045500,0.025750,0.023500,0.019250,0.025750,0.000000,0.020000,0.029750,0.045250,0.029250,0.085750
matsuda,0.049500,0.025250,0.026000,0.023750,0.023750,0.020000,0.000000,0.029750,0.045750,0.029250,0.089250
okumura,0.064750,0.032500,0.034750,0.024000,0.029500,0.029750,0.029750,0.000000,0.040000,0.032000,0.106500
ozawa,0.075750,0.044000,0.047750,0.045000,0.048500,0.045250,0.045750,0.040000,0.000000,0.050000,0.118000
takeoka,0.051750,0.027000,0.028750,0.026500,0.026000,0.029250,0.029250,0.032000,0.050000,0.000000,0.092500
morph_high,0.062750,0.097500,0.093750,0.090500,0.098000,0.085750,0.089250,0.106500,0.118000,0.092500,0.000000
