translator,morph_level,tp,fp,fn,tn,precision,recall,f1
kaneko,low,10,166,343,3481,0.056818,0.028329,0.037807
kaneko,medium,9,167,327,3497,0.051136,0.026786,0.035156
kaneko,high,51,125,126,3698,0.289773,0.288136,0.288952
kaneko,low_medium,19,157,670,3154,0.107955,0.027576,0.043931
kaneko,medium_high,60,116,453,3371,0.340909,0.116959,0.174165
kaneko,low_medium_high,70,106,796,3028,0.397727,0.080831,0.134357
kubota,low,31,360,322,3287,0.079284,0.087819,0.083333
kubota,medium,19,372,317,3292,0.048593,0.056548,0.052270
kubota,high,88,303,89,3520,0.225064,0.497175,0.309859
kubota,low_medium,50,341,639,2970,0.127877,0.072569,0.092593
kubota,medium_high,107,284,406,3203,0.273657,0.208577,0.236726
kubota,low_medium_high,138,253,728,2881,0.352941,0.159353,0.219570
katagiri,low,38,367,315,3280,0.093827,0.107649,0.100264
katagiri,medium,17,388,319,3276,0.041975,0.050595,0.045884
katagiri,high,96,309,81,3514,0.237037,0.542373,0.329897
katagiri,low_medium,55,350,634,2961,0.135802,0.079826,0.100548
katagiri,medium_high,113,292,400,3195,0.279012,0.220273,0.246187
katagiri,low_medium_high,151,254,715,2880,0.372840,0.174365,0.237608
okumura,low,35,396,318,3251,0.081206,0.099150,0.089286
okumura,medium,22,409,314,3255,0.051044,0.065476,0.057366
okumura,high,91,340,86,3483,0.211137,0.514124,0.299342
okumura,low_medium,57,374,632,2937,0.132251,0.082729,0.101786
okumura,medium_high,113,318,400,3169,0.262181,0.220273,0.239407
okumura,low_medium_high,148,283,718,2851,0.343387,0.170901,0.228219
takeoka,low,22,351,331,3296,0.058981,0.062323,0.060606
takeoka,medium,15,358,321,3306,0.040214,0.044643,0.042313
takeoka,high,90,283,87,3540,0.241287,0.508475,0.327273
takeoka,low_medium,37,336,652,2975,0.099196,0.053701,0.069680
takeoka,medium_high,105,268,408,3219,0.281501,0.204678,0.237020
takeoka,low_medium_high,127,246,739,2888,0.340483,0.146651,0.205004
ozawa,low,45,428,308,3219,0.095137,0.127479,0.108959
ozawa,medium,29,444,307,3220,0.061311,0.086310,0.071693
ozawa,high,89,384,88,3439,0.188161,0.502825,0.273846
ozawa,low_medium,74,399,615,2912,0.156448,0.107402,0.127367
ozawa,medium_high,118,355,395,3132,0.249471,0.230019,0.239351
ozawa,low_medium_high,163,310,703,2824,0.344609,0.188222,0.243465
kyusojin,low,25,315,328,3332,0.073529,0.070822,0.072150
kyusojin,medium,15,325,321,3339,0.044118,0.044643,0.044379
kyusojin,high,87,253,90,3570,0.255882,0.491525,0.336557
kyusojin,low_medium,40,300,649,3011,0.117647,0.058055,0.077745
kyusojin,medium_high,102,238,411,3249,0.300000,0.198830,0.239156
kyusojin,low_medium_high,127,213,739,2921,0.373529,0.146651,0.210614
matsuda,low,27,337,326,3310,0.074176,0.076487,0.075314
matsuda,medium,18,346,318,3318,0.049451,0.053571,0.051429
matsuda,high,92,272,85,3551,0.252747,0.519774,0.340111
matsuda,low_medium,45,319,644,2992,0.123626,0.065312,0.085470
matsuda,medium_high,110,254,403,3233,0.302198,0.214425,0.250855
matsuda,low_medium_high,137,227,729,2907,0.376374,0.158199,0.222764
kojimaarai,low,39,331,314,3316,0.105405,0.110482,0.107884
kojimaarai,medium,11,359,325,3305,0.029730,0.032738,0.031161
kojimaarai,high,86,284,91,3539,0.232432,0.485876,0.314442
kojimaarai,low_medium,50,320,639,2991,0.135135,0.072569,0.094429
kojimaarai,medium_high,97,273,416,3214,0.262162,0.189084,0.219706
kojimaarai,low_medium_high,136,234,730,2900,0.367568,0.157044,0.220065
komachiya,low,29,330,324,3317,0.080780,0.082153,0.081461
komachiya,medium,17,342,319,3322,0.047354,0.050595,0.048921
komachiya,high,87,272,90,3551,0.242340,0.491525,0.324627
komachiya,low_medium,46,313,643,2998,0.128134,0.066763,0.087786
komachiya,medium_high,104,255,409,3232,0.289694,0.202729,0.238532
komachiya,low_medium_high,133,226,733,2908,0.370474,0.153580,0.217143
