poem_id,count_1,count_2,count_3,count_4,count_5,max_agreement,max_position
1,0,11,0,1,0,11,2
2,0,0,0,0,11,11,5
3,0,9,0,0,2,9,2
4,0,11,0,0,0,11,2
5,0,0,0,0,11,11,5
6,0,10,0,0,1,10,2
7,0,0,0,0,11,11,5
8,0,0,0,0,11,11,5
9,0,0,0,0,11,11,5
10,0,0,1,0,10,10,5
11,0,0,0,0,11,11,5
12,0,0,0,0,11,11,5
13,0,0,0,1,10,10,5
14,0,0,0,0,11,11,5
15,0,0,0,0,11,11,5
16,0,0,0,0,11,11,5
17,0,9,0,2,2,9,2
18,0,0,9,0,2,9,3
19,0,0,1,0,10,10,5
20,0,0,11,0,0,11,3
21,0,0,1,0,10,10,5
22,0,2,0,0,9,9,5
23,1,0,0,0,10,10,5
24,0,0,0,0,11,11,5
25,0,1,0,0,10,10,5
26,0,1,0,0,10,10,5
27,0,0,0,0,11,11,5
28,0,0,0,0,11,11,5
29,0,0,0,0,11,11,5
30,0,9,0,0,2,9,2
31,0,0,0,0,11,11,5
32,0,4,0,0,7,7,5
33,0,0,10,0,1,10,3
34,0,2,0,0,9,9,5
35,0,0,0,0,11,11,5
36,0,0,0,6,5,6,4
37,0,4,0,0,7,7,5
38,0,0,10,0,1,10,3
39,0,0,0,0,11,11,5
40,0,10,0,0,1,10,2
41,0,10,0,0,1,10,2
42,0,9,0,0,2,9,2
43,0,0,0,0,11,11,5
44,0,0,0,0,11,11,5
45,0,0,0,0,11,11,5
46,0,0,0,0,11,11,5
47,0,1,0,0,10,10,5
48,0,1,8,0,3,8,3
49,0,0,2,0,9,9,5
50,0,0,2,6,5,6,4
51,0,0,0,0,11,11,5
52,0,9,0,0,2,9,2
53,0,0,0,0,11,11,5
54,0,10,0,4,1,10,2
55,0,6,2,0,3,6,2
56,0,0,0,0,11,11,5
57,0,0,0,0,11,11,5
58,0,2,0,0,9,9,5
59,0,8,0,0,3,8,2
60,0,0,0,0,11,11,5
61,1,1,0,0,9,9,5
62,0,2,0,0,9,9,5
63,0,0,10,0,1,10,3
64,0,0,3,0,8,8,5
65,0,1,7,0,3,7,3
66,0,0,9,0,2,9,3
67,0,0,0,1,10,10,5
68,0,0,2,1,8,8,5
69,0,0,0,0,11,11,5
70,0,0,0,0,11,11,5
71,0,0,10,0,1,10,3
72,0,11,0,0,0,11,2
73,0,7,0,0,4,7,2
74,1,10,0,0,1,10,2
75,1,1,0,0,9,9,5
76,0,0,9,8,1,9,3
77,2,11,0,0,0,11,2
78,0,0,0,0,11,11,5
79,0,9,0,0,2,9,2
80,0,0,2,0,9,9,5
81,0,0,0,0,11,11,5
82,0,5,5,0,2,5,2
83,0,0,9,0,2,9,3
84,0,0,0,0,11,11,5
85,0,0,11,0,0,11,3
86,0,0,0,0,11,11,5
87,0,0,0,0,11,11,5
88,0,8,0,0,3,8,2
89,0,0,0,0,11,11,5
90,0,0,0,0,11,11,5
91,0,0,0,2,9,9,5
92,0,9,0,0,2,9,2
93,0,0,8,0,3,8,3
94,0,0,9,0,2,9,3
95,0,0,10,0,1,10,3
96,0,0,10,0,1,10,3
97,0,0,1,0,10,10,5
98,0,0,0,0,11,11,5
99,0,0,0,0,11,11,5
100,0,0,0,0,11,11,5
101,0,0,0,0,11,11,5
102,0,0,0,0,11,11,5
103,0,0,0,0,11,11,5
104,0,0,0,10,1,10,4
105,0,0,0,0,11,11,5
106,0,0,0,10,1,10,4
107,0,1,0,0,10,10,5
108,1,0,5,0,5,5,3
109,0,0,0,1,10,10,5
110,0,2,9,1,1,9,3
111,0,9,0,0,2,9,2
112,0,9,0,0,2,9,2
113,0,10,0,0,1,10,2
114,1,0,11,0,0,11,3
115,0,0,0,0,11,11,5
116,0,0,0,0,11,11,5
117,0,0,1,0,10,10,5
118,0,0,0,0,11,11,5
119,0,1,1,5,6,6,5
120,0,0,0,0,11,11,5
121,0,2,0,0,9,9,5
122,0,0,0,1,10,10,5
123,0,10,0,0,1,10,2
124,0,1,0,0,10,10,5
125,1,0,11,0,0,11,3
126,0,0,0,0,11,11,5
127,0,0,0,0,11,11,5
128,0,0,0,0,11,11,5
129,0,0,0,0,11,11,5
130,0,5,0,0,6,6,5
131,0,10,0,0,1,10,2
132,0,0,0,0,11,11,5
133,0,10,0,0,1,10,2
134,0,0,0,0,11,11,5
135,0,0,11,0,0,11,3
136,0,0,0,0,11,11,5
137,0,0,4,0,7,7,5
138,0,0,8,0,3,8,3
139,1,0,0,0,10,10,5
140,0,11,0,0,0,11,2
141,0,0,5,0,6,6,5
142,0,0,0,0,11,11,5
143,0,0,0,0,11,11,5
144,0,0,0,0,11,11,5
145,0,5,0,0,6,6,5
146,0,0,0,0,11,11,5
147,3,0,0,1,8,8,5
148,0,0,0,0,11,11,5
149,0,0,4,0,7,7,5
150,0,0,0,0,11,11,5
151,0,4,5,0,3,5,3
152,0,10,0,0,1,10,2
153,0,0,0,0,11,11,5
154,1,5,0,0,6,6,5
155,0,0,0,0,11,11,5
156,0,0,0,0,11,11,5
157,0,0,0,1,10,10,5
158,0,0,6,0,5,6,3
159,0,0,3,1,7,7,5
160,0,0,1,0,10,10,5
161,0,8,0,0,3,8,2
162,0,0,0,0,11,11,5
163,0,5,3,0,3,5,2
164,0,0,0,0,11,11,5
165,0,0,0,0,11,11,5
166,0,0,0,0,11,11,5
167,0,6,0,0,5,6,2
168,0,0,0,0,11,11,5
169,0,0,0,0,11,11,5
170,0,9,0,0,2,9,2
171,0,0,0,0,11,11,5
172,0,2,0,0,9,9,5
173,0,0,0,0,11,11,5
174,0,0,2,0,9,9,5
175,0,0,1,0,10,10,5
176,0,10,0,0,1,10,2
177,0,0,0,0,11,11,5
178,0,10,0,0,1,10,2
179,0,0,0,0,11,11,5
180,0,0,0,0,11,11,5
181,0,10,0,0,1,10,2
182,0,0,0,0,11,11,5
183,0,0,0,0,11,11,5
184,0,0,0,0,11,11,5
185,0,0,0,0,11,11,5
186,0,0,0,0,11,11,5
187,0,8,0,0,3,8,2
188,0,0,0,0,11,11,5
189,0,0,0,0,11,11,5
190,0,0,0,0,11,11,5
191,0,0,0,0,11,11,5
192,0,9,0,0,2,9,2
193,0,0,9,0,2,9,3
194,0,0,0,0,11,11,5
195,0,0,0,0,11,11,5
196,1,9,0,0,2,9,2
197,0,0,0,0,11,11,5
198,0,0,0,0,11,11,5
199,0,0,9,0,2,9,3
200,0,0,0,0,11,11,5
201,0,11,0,0,0,11,2
202,0,0,11,0,0,11,3
203,0,0,1,0,10,10,5
204,0,0,0,0,11,11,5
205,0,0,1,0,10,10,5
206,0,0,0,0,11,11,5
207,0,0,10,0,1,10,3
208,0,0,0,0,11,11,5
209,0,11,0,0,0,11,2
210,0,0,0,2,9,9,5
211,0,1,0,0,10,10,5
212,0,0,0,0,11,11,5
213,0,0,0,3,8,8,5
214,0,0,10,0,1,10,3
215,0,0,0,1,10,10,5
216,0,0,0,0,11,11,5
217,0,0,0,0,11,11,5
218,0,11,0,0,0,11,2
219,0,0,0,0,11,11,5
220,0,7,0,0,4,7,2
221,1,0,11,0,0,11,3
222,0,0,11,0,0,11,3
223,0,10,0,0,1,10,2
224,0,0,0,8,3,8,4
225,0,0,6,0,5,6,3
226,0,7,4,0,2,7,2
227,0,0,9,0,2,9,3
228,0,9,1,6,2,9,2
229,0,0,0,0,11,11,5
230,0,0,0,0,11,11,5
231,0,0,10,0,1,10,3
232,0,0,0,0,11,11,5
233,0,8,0,0,3,8,2
234,0,0,0,0,11,11,5
235,1,6,0,0,4,6,2
236,0,1,0,0,10,10,5
237,0,0,10,0,1,10,3
238,0,11,0,0,0,11,2
239,0,10,0,0,1,10,2
240,0,10,0,0,1,10,2
241,0,11,0,0,0,11,2
242,0,10,0,0,1,10,2
243,0,6,2,1,2,6,2
244,0,1,0,0,10,10,5
245,0,0,6,0,5,6,3
246,0,0,0,8,3,8,4
247,0,10,0,0,1,10,2
248,0,0,1,0,10,10,5
249,0,0,0,0,11,11,5
250,0,1,0,0,10,10,5
251,0,0,0,0,11,11,5
252,0,9,0,0,2,9,2
253,0,0,0,1,10,10,5
254,1,0,0,5,6,6,5
255,0,0,0,0,11,11,5
256,0,0,0,0,11,11,5
257,0,0,0,0,11,11,5
258,0,0,0,0,11,11,5
259,0,0,0,0,11,11,5
260,0,0,0,0,11,11,5
261,0,0,0,0,11,11,5
262,1,0,0,0,10,10,5
263,0,0,0,0,11,11,5
264,0,0,0,0,11,11,5
265,0,0,0,0,11,11,5
266,0,10,0,0,1,10,2
267,0,0,0,0,11,11,5
268,0,0,10,1,1,10,3
269,0,0,0,0,11,11,5
270,0,1,8,0,2,8,3
271,0,0,3,0,8,8,5
272,0,1,0,1,10,10,5
273,1,2,0,0,8,8,5
274,0,0,0,0,11,11,5
275,0,0,0,0,11,11,5
276,0,0,11,0,0,11,3
277,0,10,0,0,1,10,2
278,0,0,0,0,11,11,5
279,0,1,7,0,3,7,3
280,0,0,0,0,11,11,5
281,0,0,0,0,11,11,5
282,0,0,1,9,1,9,4
283,0,0,0,10,1,10,4
284,0,1,9,0,1,9,3
285,0,1,5,1,5,5,3
286,0,0,0,0,11,11,5
287,1,8,1,0,2,8,2
288,0,1,0,0,10,10,5
289,0,0,0,0,11,11,5
290,0,0,0,0,11,11,5
291,0,0,8,0,3,8,3
292,0,1,0,0,10,10,5
293,0,0,0,0,11,11,5
294,1,7,0,0,3,7,2
295,0,8,0,0,3,8,2
296,0,0,0,1,10,10,5
297,0,0,0,0,11,11,5
298,0,0,0,0,11,11,5
299,0,0,0,0,11,11,5
300,0,1,0,0,10,10,5
301,0,0,0,0,11,11,5
302,0,0,0,0,11,11,5
303,0,0,1,0,10,10,5
304,0,3,0,0,8,8,5
305,0,9,0,0,2,9,2
306,1,0,0,0,10,10,5
307,0,0,0,0,11,11,5
308,0,0,0,0,11,11,5
309,0,0,11,0,0,11,3
310,0,0,1,0,10,10,5
311,0,1,2,0,8,8,5
312,0,0,1,0,10,10,5
313,0,10,0,0,1,10,2
314,0,9,0,0,2,9,2
315,0,0,8,0,3,8,3
316,0,0,0,0,11,11,5
317,0,11,0,0,0,11,2
318,0,10,0,0,1,10,2
319,0,10,0,0,1,10,2
320,0,10,0,0,1,10,2
321,0,0,0,0,11,11,5
322,0,0,11,1,0,11,3
323,0,0,0,0,11,11,5
324,0,0,0,1,10,10,5
325,0,0,9,0,2,9,3
326,0,0,0,0,11,11,5
327,0,0,0,0,11,11,5
328,0,0,0,0,11,11,5
329,0,0,0,0,11,11,5
330,0,0,0,0,11,11,5
331,0,0,0,0,11,11,5
332,0,0,0,0,11,11,5
333,0,11,0,0,0,11,2
334,0,10,0,0,1,10,2
335,0,0,0,6,5,6,4
336,0,0,0,0,11,11,5
337,0,0,10,0,1,10,3
338,0,1,0,0,10,10,5
339,0,0,0,0,11,11,5
340,0,0,0,0,11,11,5
341,0,2,0,0,9,9,5
342,0,11,0,0,0,11,2
343,0,6,0,0,5,6,2
344,0,0,0,0,11,11,5
345,0,0,0,0,11,11,5
346,0,0,1,0,10,10,5
347,0,0,0,0,11,11,5
348,0,8,0,0,3,8,2
349,1,10,0,0,1,10,2
350,0,0,0,1,10,10,5
351,0,0,0,0,11,11,5
352,0,0,0,0,11,11,5
353,0,0,0,0,11,11,5
354,0,1,0,3,7,7,5
355,0,0,2,0,9,9,5
356,0,0,9,0,2,9,3
357,0,0,0,0,11,11,5
358,0,0,3,0,8,8,5
359,0,0,0,0,11,11,5
360,0,0,0,0,11,11,5
361,1,0,9,0,1,9,3
362,0,0,2,0,9,9,5
363,0,0,0,0,11,11,5
364,0,0,0,0,11,11,5
365,0,0,0,0,11,11,5
366,1,1,0,0,9,9,5
367,0,0,0,0,11,11,5
368,0,0,0,0,11,11,5
369,0,0,0,1,10,10,5
370,0,2,0,0,9,9,5
371,0,1,0,0,10,10,5
372,0,0,0,0,11,11,5
373,0,0,0,0,11,11,5
374,0,0,1,0,10,10,5
375,0,11,0,0,0,11,2
376,0,0,0,0,11,11,5
