poem_id,alpha,break_marks,possible_marks,translator_disagreement,majority_positions,morph_high_positions
1,1.000000,10,50,0,2,2 4
2,1.000000,10,50,0,,
3,0.750000,10,50,1,2,
4,1.000000,10,50,0,2,2
5,1.000000,10,50,0,,
6,1.000000,10,50,0,2,
7,1.000000,10,50,0,,
8,1.000000,10,50,0,,
9,1.000000,10,50,0,,
10,1.000000,10,50,0,,3
11,1.000000,10,50,0,,
12,1.000000,10,50,0,,
13,1.000000,10,50,0,,4
14,1.000000,10,50,0,,
15,1.000000,10,50,0,,
16,1.000000,10,50,0,,
17,0.469049,11,50,1,2,2 4
18,0.555556,10,50,1,3,3
19,0.750000,10,50,1,,
20,1.000000,10,50,0,3,3
21,1.000000,10,50,0,,3
22,0.555556,10,50,1,,
23,1.000000,10,50,0,,1
24,1.000000,10,50,0,,
25,0.750000,10,50,1,,
26,0.750000,10,50,1,,
27,1.000000,10,50,0,,
28,1.000000,10,50,0,,
29,1.000000,10,50,0,,
30,0.750000,10,50,1,2,
31,1.000000,10,50,0,,
32,0.333333,10,50,1,,
33,0.750000,10,50,1,3,3
34,0.555556,10,50,1,,
35,1.000000,10,50,0,,
36,0.333333,10,50,1,4,
37,0.333333,10,50,1,,
38,1.000000,10,50,0,3,
39,1.000000,10,50,0,,
40,1.000000,10,50,0,2,
41,1.000000,10,50,0,2,
42,0.750000,10,50,1,2,
43,1.000000,10,50,0,,
44,1.000000,10,50,0,,
45,1.000000,10,50,0,,
46,1.000000,10,50,0,,
47,0.750000,10,50,1,,
48,0.469049,11,50,1,3,
49,0.555556,10,50,1,,
50,0.220273,12,50,1,4,
51,1.000000,10,50,0,,
52,0.750000,10,50,1,2,
53,1.000000,10,50,0,,
54,0.735450,14,50,1,2,
55,0.222222,10,50,1,2,
56,1.000000,10,50,0,,
57,1.000000,10,50,0,,
58,0.555556,10,50,1,,
59,0.555556,10,50,1,2,
60,1.000000,10,50,0,,
61,0.527778,10,50,1,,
62,0.750000,10,50,1,,2
63,1.000000,10,50,0,3,
64,0.416667,10,50,1,,
65,0.361111,10,50,1,3,
66,0.750000,10,50,1,3,
67,0.750000,10,50,1,,
68,0.555556,10,50,1,,4
69,1.000000,10,50,0,,
70,1.000000,10,50,0,,
71,1.000000,10,50,0,3,
72,1.000000,10,50,0,2,2
73,0.416667,10,50,1,2,
74,0.650350,11,50,1,2,2
75,0.750000,10,50,1,,1
76,0.752426,17,50,1,3 4,
77,0.805068,12,50,1,2,2
78,1.000000,10,50,0,,
79,0.555556,10,50,1,2,2
80,0.555556,10,50,1,,
81,1.000000,10,50,0,,
82,0.235949,11,50,1,,
83,0.750000,10,50,1,3,
84,1.000000,10,50,0,,
